214
term		tfidf
14		0.0583870953157
28		0.0968413090108
29		0.0995420435031
69		0.045083646341
76		0.0538527474233
106		0.077620610569
114		0.0374724248086
118		0.173553283358
199		0.0304039167104
205		0.0526743831638
213		0.0427720490065
260		0.159309171461
328		0.115096414066
333		0.0461091093893
365		0.0608078334208
419		0.0968413090108
478		0.0222704664534
503		0.039204359638
574		0.0318618342923
575		0.024793326194
610		0.0445409329068
624		0.0304039167104
655		0.0608078334208
658		0.0608078334208
692		0.0383654713554
796		0.077620610569
937		0.0663613623354
952		0.0152019583552
1093		0.127447337169
1145		0.039204359638
1149		0.0304039167104
1177		0.0767309427108
1181		0.0407434353342
1229		0.0649161454601
1384		0.024793326194
1517		0.10935002836
1542		0.024793326194
1600		0.024793326194
1719		0.0968413090108
1734		0.087237298486
1840		0.0445409329068
1939		0.0191827356777
1941		0.0499657834691
1951		0.0968413090108
2009		0.167221541907
2052		0.0968413090108
2058		0.0354922785022
2096		0.0318618342923
2106		0.0495866523881
2126		0.0433871466624
2140		0.0649161454601
2146		0.0304039167104
2167		0.0767309427108
2232		0.0191827356777
2251		0.0566551604863
2264		0.0374724248086
2489		0.0663613623354
2587		0.0487957274769
2764		0.0433871466624
2794		0.0495866523881
2798		0.0491968401651
2809		0.0495866523881
2861		0.0304039167104
2999		0.0663613623354
3144		0.0427720490065
3237		0.0222704664534
3359		0.0491968401651
3376		0.0698769725351
3397		0.0487957274769
3423		0.0566551604863
3618		0.0445409329068
3627		0.0304039167104
3637		0.0767309427108
4000		0.00959136783885
4243		0.0318618342923
4539		0.0331806811677
4596		0.0287741035165
4608		0.0624186522138
4640		0.0269263737117
4648		0.087237298486
4649		0.0995420435031
4764		0.0743799785821
4771		0.0152019583552
4813		0.0222704664534
4848		0.0304039167104
4937		0.0374724248086
5052		0.0331806811677
5086		0.0287741035165
5248		0.0331806811677
5251		0.039204359638
5267		0.0991733047762
5323		0.0538527474233
5327		0.0222704664534
5364		0.0608078334208
5372		0.0269263737117
5379		0.0517196999057
5394		0.0635845978781
5412		0.024793326194
5465		0.045083646341
5477		0.0538527474233
5587		0.0559453936894
5666		0.0624186522138
5740		0.00959136783885
5771		0.0414532021311
5865		0.0679784631546
5931		0.0583870953157
5947		0.024793326194
6051		0.0602856046962
6059		0.0318618342923
6096		0.0152019583552
6157		0.0421283320668
6193		0.0191827356777
6344		0.0222704664534
6371		0.0222704664534
6381		0.05104456997
6481		0.261711895458
6497		0.090167292682
6504		0.0365177415505
6570		0.024793326194
6709		0.0304039167104
6746		0.0495866523881
6754		0.0461091093893
6840		0.0526743831638
6881		0.0383654713554
6926		0.0968413090108
7116		0.0191827356777
7128		0.024793326194
7182		0.0
7196		0.119985853648
7198		0.0968413090108
7337		0.0269263737117
7382		0.0304039167104
7396		0.0287741035165
7437		0.0663613623354
7487		0.0287741035165
7563		0.024793326194
7702		0.158023149491
7742		0.045083646341
7764		0.0269263737117
7826		0.193682618022
7855		0.0287741035165
8000		0.0191827356777
8028		0.0520453012533
8030		0.087237298486
8179		0.0479568391942
8185		0.0559453936894
8214		0.0575482070331
8229		0.0304039167104
8254		0.0304039167104
8280		0.0487957274769
8316		0.0433871466624
8357		0.0331806811677
8376		0.024793326194
8415		0.0470637926475
8440		0.0698769725351
8458		0.0890818658137
8479		0.0879521237435
8527		0.0343846940329
8578		0.0968413090108
8608		0.024793326194
8653		0.0287741035165
8723		0.0287741035165
8844		0.0479568391942
8845		0.0506942368574
8858		0.0407434353342
8889		0.024793326194
8903		0.0538527474233
8945		0.0421283320668
9042		0.039204359638
9136		0.0784087192761
9241		0.0
9242		0.0
9245		0.0767309427108
9284		0.0663613623354
9289		0.0374724248086
9337		0.0222704664534
9478		0.076009791776
9482		0.0331806811677
9526		0.0269263737117
9529		0.0407434353342
9533		0.153461885422
9564		0.0191827356777
9674		0.0668113993603
9763		0.0287741035165
9817		0.0354922785022
9899		0.0445409329068
10022		0.0421283320668
10030		0.0995420435031
10039		0.0679784631546
10071		0.0439760618717
10210		0.0
10310		0.024793326194
10462		0.113310320973
10511		0.0191827356777
10545		0.107705494847
10549		0.0470637926475
10734		0.0749448496172
10787		0.0222704664534
10788		0.045083646341
10887		0.0222704664534
10956		0.0304039167104
11016		0.0566551604863
11093		0.141969114009
11144		0.0191827356777
11371		0.0287741035165
11472		0.0649161454601
11509		0.0191827356777
11770		0.0152019583552
11798		0.0152019583552
11875		0.00959136783885
11877		0.0649161454601
11892		0.024793326194
12127		0.0959136783885
12128		0.374063345715
