30
term		tfidf
451		0.179085866383
655		0.0791763881961
1997		0.212204110621
2009		0.0791763881961
2063		0.17281500392
2670		0.140240682673
3299		0.115991312173
3369		0.158352776392
4235		0.179085866383
5136		0.208307515485
5306		0.158352776392
7182		0.0
7383		0.190195421767
7854		0.14986421728
8241		0.208307515485
8334		0.265855529453
8462		0.190195421767
8610		0.34563000784
8666		0.234809239743
8775		0.140240682673
8844		0.14986421728
9471		0.129131127289
10787		0.34797393652
10864		0.165946051267
10944		0.0791763881961
11038		0.212204110621
11118		0.199818956373
11509		0.0999094781864
11957		0.140240682673
12127		0.0999094781864
