130
term		tfidf
23		0.0617046371212
130		0.0870053931363
208		0.0291984766575
227		0.126967196962
228		0.0325061604638
371		0.05523382831
558		0.075450596567
560		0.075450596567
574		0.0417735760853
815		0.0690605987294
1263		0.0944112640842
1317		0.0377252982835
1477		0.114375521897
1521		0.0706055345481
1550		0.0664644584183
1710		0.0353027672741
1714		0.0622995111881
1782		0.0291984766575
1874		0.0377252982835
1885		0.0543486755131
1963		0.056077795996
1969		0.167094304341
2072		0.0398621220719
2080		0.0645012439315
2151		0.0604529661297
2211		0.126967196962
2257		0.0790395578461
2339		0.0251501988557
2343		0.0576563593194
2400		0.0591084968101
2446		0.0417735760853
2644		0.0435026965681
2728		0.225406299458
2774		0.0622995111881
2993		0.0634337576041
3236		0.0650123209275
3326		0.0398621220719
3328		0.0591084968101
3404		0.0634337576041
3551		0.107036135926
3677		0.0291984766575
3913		0.0491295376934
3916		0.0617046371212
4251		0.0604529661297
4265		0.17605139199
4393		0.0199310610359
4519		0.302264830649
4546		0.0870053931363
4552		0.0891255499198
4661		0.126967196962
4764		0.0325061604638
4777		0.126967196962
4817		0.0610895940322
4916		0.0977687203047
5084		0.126967196962
5174		0.0591084968101
5175		0.0650123209275
5296		0.08336481864
5435		0.22093531324
5565		0.0797242441438
5740		0.0125750994278
5964		0.0655093940374
5993		0.0199310610359
6134		0.253934393924
6488		0.0503003977113
6589		0.0291984766575
6890		0.0733491718797
6910		0.0353027672741
6994		0.114375521897
7153		0.0465333973823
7337		0.0353027672741
7459		0.0199310610359
7465		0.0957557334038
7467		0.0591084968101
7601		0.0682358188121
7659		0.0650123209275
7672		0.0690605987294
7855		0.0251501988557
8071		0.0503003977113
8076		0.0591084968101
8153		0.0199310610359
8228		0.075450596567
8289		0.0742797365491
8349		0.226351789701
8460		0.0617046371212
8653		0.0377252982835
8792		0.0199310610359
8844		0.0377252982835
8845		0.0664644584183
8874		0.0465333973823
8969		0.126967196962
9029		0.0591084968101
9241		0.0
9348		0.0835471521706
9373		0.0435026965681
9763		0.0377252982835
9818		0.0465333973823
9879		0.228751043794
9976		0.0435026965681
10052		0.0742797365491
10106		0.0478778667019
10160		0.0583969533149
10190		0.0377252982835
10350		0.0975184813913
10385		0.0891255499198
10489		0.0291984766575
10511		0.0251501988557
10840		0.0325061604638
10860		0.105908301822
10912		0.155675318537
10979		0.0291984766575
11002		0.101767225692
11076		0.0604529661297
11100		0.0818361646564
11118		0.201201590845
11131		0.0503003977113
11152		0.0325061604638
11371		0.0251501988557
11582		0.0568842413654
11625		0.0591084968101
11640		0.105908301822
11683		0.0634337576041
11734		0.0742797365491
11745		0.0291984766575
11873		0.0650123209275
11876		0.0503003977113
11972		0.0450812598916
12063		0.0417735760853
12122		0.0
12159		0.0478778667019
